coordinates,instrumentalness,liveness,speechiness,danceability,valence,loudness,tempo,acousticness,energy,mode,key,artist_id,place,geo,tweet_lang,track_id,created_at,lang,time_zone,user_id,id
,0.0,0.086,0.0436,0.675,0.775,-4.4319999999999995,97.03,0.217,0.885,0.0,1.0,e41273f43af504714d85465294f1f369,,,en,ba84d88c10fb0e42d4754a27ead10546,2014-01-01 05:54:22,es,Mountain Time (US & Canada),132588395,418243779951198200
,0.000183,0.36200000000000004,0.0524,0.767,0.8079999999999999,-5.011,114.23700000000001,0.0364,0.7390000000000001,0.0,10.0,77bd64b4bf77e10001fd02964985ae0f,,,en,b5c42e81e15cd54b9b0ee34711dedf05,2014-01-01 05:54:24,en,Central Time (US & Canada),17945688,418243789753700350
,0.0499,0.188,0.0295,0.8170000000000001,0.909,-8.392000000000001,111.416,0.486,0.845,1.0,0.0,a9ab7331dca645a72dca6b1bfac805d2,,,en,6b2590cf3b9cd3386cd4ba4b012eaf3b,2014-01-01 05:54:31,en,London,585098987,418243818895720450
,0.0461,0.049,0.0436,0.603,0.521,-6.037000000000001,124.999,0.024,0.778,0.0,3.0,ce15694c1c49213bcb3d0379bda930fa,,,en,85bded2c26726c14f4668c4c25968f5c,2014-01-01 05:54:43,es,Mountain Time (US & Canada),132588395,418243866492284900
,3.23e-06,0.322,0.0544,0.37,0.446,-5.949,150.648,0.0102,0.66,1.0,0.0,3d4d557f09ff0673ee908a854fb87c75,,,en,b013295b38799b8c537c850ff891170e,2014-01-01 05:54:59,en,Central Time (US & Canada),16634031,418243933488316400
,0.147,0.0492,0.264,0.278,0.0659,-3.6260000000000003,110.759,0.000303,0.9990000000000001,1.0,11.0,121189969c46f49b8249633c2d5a7bfa,,,en,fb45503a9e3596197fa64bd4649e8f78,2014-01-01 05:55:02,en,Athens,1131815390,418243947136581600
,0.00042,0.188,0.0252,0.43700000000000006,0.22,-10.107999999999999,93.51100000000001,0.484,0.33799999999999997,1.0,10.0,ad95ae953afd4d29e651b35a7b241f2a,,,en,fa9a5b72bcb4f7b61b2023d7334b4c35,2014-01-01 05:55:03,en,Eastern Time (US & Canada),194640276,418243951163109400
,0.0312,0.39299999999999996,0.0397,0.5660000000000001,0.669,-5.324,118.052,0.000458,0.833,1.0,7.0,6cf34fc6fd651d6c833dce73e2dd593a,,,en,03a6d061b4896446813317c360eec03a,2014-01-01 05:55:06,en,Atlantic Time (Canada),563520304,418243963796340740
,0.155,0.17800000000000002,0.0301,0.7240000000000001,0.555,-5.4639999999999995,113.073,0.0408,0.614,1.0,8.0,f811fd68944141717ec5652935dfe40d,,,en,5dd8d33f92debf610986ffcb961818b3,2014-01-01 05:55:12,en,Central Time (US & Canada),31219247,418243989934837760
,0.0,0.743,0.285,0.5539999999999999,0.626,-1.369,83.446,0.254,0.856,0.0,5.0,effbbbdf75ed154b53443babbbe6c4c3,,,en,d7c908a6d9ef21755b36ecca951c9b18,2014-01-01 05:55:33,en,,1268222954,418244077420040200
,0.809,0.154,0.0349,0.358,0.196,-5.8629999999999995,147.977,0.0034700000000000004,0.635,0.0,4.0,b196cfab1f918dcd1cca1befa53fe5b8,,,en,4656c8d56ce1a1aa954f625152c18b86,2014-01-01 05:55:46,es,Mountain Time (US & Canada),132588395,418244131513573400
,0.0,0.551,0.18899999999999997,0.862,0.73,-5.782,96.0,0.149,0.9359999999999999,0.0,10.0,effbbbdf75ed154b53443babbbe6c4c3,,,en,6c76fc7d9d5ecb5743128eb054250d1c,2014-01-01 05:55:50,en,,1268222954,418244147934281700
,1.32e-06,0.177,0.0533,0.545,0.431,-4.867,135.984,0.006409999999999999,0.937,1.0,0.0,6047152e190182dcdad1b33348da03c5,,,en,cb8982ed7f655ae64a254976a572a218,2014-01-01 05:55:53,en,,1311436706,418244163566858240
,0.0,0.12300000000000001,0.215,0.892,0.36200000000000004,-4.048,91.98899999999999,0.0277,0.693,0.0,11.0,effbbbdf75ed154b53443babbbe6c4c3,,,en,f61f7c74a9754a32d6d0a109d9bfc2d2,2014-01-01 05:55:58,en,,1268222954,418244183145455600
,0.0,0.11800000000000001,0.156,0.6659999999999999,0.415,-4.922,169.946,0.136,0.627,1.0,2.0,b8bb24e26b0a9e72ec9f3bd9e17bcfd1,,,en,5cbf25f0f194b8710a1ac9844a832d24,2014-01-01 05:56:02,en,Berlin,1617892824,418244199528808450
,0.0,0.102,0.0626,0.9109999999999999,0.643,-3.582,104.76,0.0266,0.6859999999999999,1.0,11.0,effbbbdf75ed154b53443babbbe6c4c3,,,en,b95731578300f0f4be65708b3b551e0e,2014-01-01 05:56:12,en,,1268222954,418244243677646850
,0.0965,0.0322,0.0337,0.626,0.8809999999999999,-11.919,106.765,0.364,0.7440000000000001,1.0,3.0,27e9e1cd31703ce2c2af5ff9c6504d70,,,en,804e5bf460a3ccc19a8a2f7745b99c3d,2014-01-01 05:56:27,en,Pacific Time (US & Canada),946275781,418244304642261000
,8.83e-05,0.34,0.0319,0.633,0.8420000000000001,-7.617000000000001,103.50399999999999,0.054000000000000006,0.795,1.0,0.0,5054dceed5f647c406ed9352d6e12592,,,en,3170d5de550d619ea4a4dfffa1871c0f,2014-01-01 05:56:43,en,,418819750,418244369695899650
,0.000234,0.182,0.034,0.5379999999999999,0.5329999999999999,-5.94,118.32,0.131,0.716,1.0,0.0,5272f90eb6120f823cb2369858401df2,,,en,a129fae6d317014b27588eb2e485fd99,2014-01-01 05:56:54,en,,827789010,418244417443885060
